Brood,Pi,Tank,Treatment,Date,Age,Behaviors,WeirdSwims,VidLength,NumFish,Grader,Notes
2,3,5,Thyroxine,8/22/2024,17,3,4,30,5,MW,
2,3,6,Thiourea,8/22/2024,17,3,0,30,5,MW,
2,4,7,Thyroxine,8/22/2024,17,4,3,30,5,MW,
2,4,8,Thiourea,8/22/2024,17,0,1,30,5,MW,
2,1,1,Thiourea,8/25/2024,20,0,0,30,5,MW,
2,1,2,NaOH,8/25/2024,20,1,0,30,5,MW,
2,2,3,Thyroxine,8/25/2024,20,,,,,,FISH UNDER BARRIERS
2,2,4,NaOH,8/25/2024,20,0,1,30,5,MW,
2,3,5,Thyroxine,8/25/2024,20,0,2,30,5,MW,
2,3,6,Thiourea,8/25/2024,20,0,0,30,5,MW,
2,4,7,Thyroxine,8/25/2024,20,0,1,30,5,MW,
2,4,8,Thiourea,8/25/2024,20,2,2,30,5,MW,
2,1,1,Thiourea,8/27/2024,22,114,2,30,5,MW,
2,1,2,NaOH,8/27/2024,22,138,0,30,5,MW,
2,2,3,Thyroxine,8/27/2024,22,174,0,30,5,MW,
2,2,4,NaOH,8/27/2024,22,184,0,30,5,MW,
2,3,5,Thyroxine,8/27/2024,22,80,7,30,5,MW,
2,3,6,Thiourea,8/27/2024,22,58,0,30,5,MW,
2,4,7,Thyroxine,8/27/2024,22,128,7,30,5,MW,
2,4,8,Thiourea,8/27/2024,22,67,0,30,5,MW,
2,1,1,Thiourea,8/29/2024,24,3,0,30,5,MW,
2,1,2,NaOH,8/29/2024,24,1,1,30,5,MW,
2,2,3,Thyroxine,8/29/2024,24,8,5,30,5,MW,
2,2,4,NaOH,8/29/2024,24,42,1,30,5,MW,
2,3,5,Thyroxine,8/29/2024,24,1,5,30,5,MW,
2,3,6,Thiourea,8/29/2024,24,2,0,30,5,MW,
2,4,7,Thyroxine,8/29/2024,24,0,6,30,5,MW,
2,4,8,Thiourea,8/29/2024,24,1,1,30,5,MW,
2,1,1,Thiourea,9/2/2024,27,12,2,30,5,MW,
2,1,2,NaOH,9/2/2024,27,208,0,30,5,MW,
2,2,3,Thyroxine,9/2/2024,27,,,,,,DED FISH
2,2,4,NaOH,9/2/2024,27,106,0,30,5,MW,
2,3,5,Thyroxine,9/2/2024,27,,,,,,DED FISH
2,3,6,Thiourea,9/2/2024,27,24,0,30,5,MW,FISH ACTIVELY DYING
2,4,7,Thyroxine,9/2/2024,27,114,0,30,5,MW,
2,4,8,Thiourea,9/2/2024,27,3,5,30,5,MW,
2,1,1,Thiourea,9/5/2024,30,13,0,30,5,MW,
2,1,2,NaOH,9/5/2024,30,19,0,30,5,MW,
2,2,3,Thyroxine,9/5/2024,30,,,,,,DED FISH
2,2,4,NaOH,9/5/2024,30,56,0,30,5,MW,
2,3,5,Thyroxine,9/5/2024,30,,,,,,DED FISH
2,3,6,Thiourea,9/5/2024,30,5,3,30,5,MW,
2,4,7,Thyroxine,9/5/2024,30,,,,,,DED FISH
2,4,8,Thiourea,9/5/2024,30,2,0,30,5,MW,
